date, minTemp, maxTemp, clear, cloudy, rain, snow, storm, wind, weekend, holiday, visitorTotal, visitorMale, visitorFemale, visitorKids, VisitorTeenage, VisitorAdult, VisitorElderly, OverMonthlyAverage 
2015-01-29,2, 6, 0, 0, 1, 0, 0, 3, 0, 0,7771, 1830, 5941, 1123, 3185, 1292, 2171,1
2015-01-30,2, 6, 0, 1, 0, 0, 0, 4, 0, 0,6693, 3214, 3479, 2195, 2135, 479, 1884,1
2015-01-31,3, 6, 0, 1, 0, 0, 0, 3, 1, 0,4429, 775, 3654, 1822, 486, 609, 1512,0
2015-02-01,4, 7, 0, 0, 1, 0, 0, 3, 1, 0,7321, 3487, 3834, 3446, 1770, 927, 1178,0
2015-02-02,4, 8, 0, 0, 1, 0, 0, 3, 0, 0,186, 63, 123, 76, 15, 14, 81,0
2015-02-03,4, 8, 0, 1, 0, 0, 0, 3, 0, 0,9998, 1066, 8932, 4835, 2269, 832, 2062,1
2015-02-04,2, 9, 0, 1, 0, 0, 0, 3, 0, 0,7466, 2427, 5039, 1076, 1410, 1376, 3604,0
2015-02-05,1, 7, 0, 0, 0, 0, 0, 3, 0, 0,10631, 2734, 7897, 3147, 3353, 1976, 2155,1
2015-02-06,2, 8, 0, 1, 0, 0, 0, 3, 0, 0,10076, 4026, 6050, 2611, 3035, 1761, 2669,1
2015-02-07,2, 11, 0, 1, 0, 0, 0, 4, 1, 0,9398, 2184, 7214, 4471, 2421, 767, 1739,1
2015-02-08,-1, 4, 0, 1, 0, 0, 0, 4, 1, 0,8222, 1379, 6843, 2384, 2565, 544, 2729,0
2015-02-09,0, 6, 0, 0, 0, 0, 0, 3, 0, 0,92, 40, 52, 17, 34, 16, 25,0
2015-02-10,4, 10, 0, 0, 0, 0, 0, 3, 0, 0,9716, 4268, 5448, 4380, 1870, 621, 2845,1
2015-02-11,5, 15, 0, 0, 0, 0, 0, 3, 0, 0,10752, 4784, 5968, 4312, 2119, 1064, 3257,1
2015-02-12,5, 13, 0, 0, 0, 0, 0, 3, 0, 0,7256, 3062, 4194, 3025, 804, 622, 2805,0
2015-02-13,7, 12, 0, 1, 0, 0, 0, 3, 0, 0,10683, 4203, 6480, 3577, 2714, 1525, 2867,1
2015-02-14,12, 17, 0, 1, 1, 0, 0, 3, 1, 0,10472, 1683, 8789, 2171, 2577, 1845, 3879,1
2015-02-15,11, 17, 0, 1, 1, 0, 0, 3, 1, 0,7468, 1603, 5865, 1884, 2125, 1692, 1767,0
2015-02-16,6, 17, 0, 1, 0, 0, 0, 3, 0, 0,11, 4, 7, 4, 3, 2, 2,0
2015-02-17,4, 14, 0, 0, 0, 0, 0, 3, 0, 0,8121, 3064, 5057, 3154, 947, 857, 3163,0
2015-02-18,4, 12, 0, 0, 0, 0, 0, 3, 0, 0,10769, 2798, 7971, 4238, 1904, 1835, 2792,1
2015-02-19,5, 11, 0, 1, 0, 0, 0, 3, 0, 0,10057, 4545, 5512, 3854, 1009, 949, 4245,1
2015-02-20,10, 12, 0, 0, 1, 0, 0, 4, 0, 0,9423, 3144, 6279, 2560, 2000, 2154, 2709,1
2015-02-21,8, 13, 0, 1, 1, 0, 0, 3, 1, 0,7480, 3127, 4353, 1158, 1066, 1466, 3790,0
2015-02-22,6, 12, 0, 1, 1, 0, 0, 3, 1, 0,7306, 2657, 4649, 1783, 559, 1620, 3344,0
2015-02-23,6, 10, 0, 1, 1, 0, 0, 3, 0, 0,170, 45, 125, 51, 48, 11, 60,0
2015-02-24,7, 11, 0, 1, 1, 0, 0, 3, 0, 0,10012, 3161, 6851, 4340, 2341, 529, 2802,1
2015-02-25,6, 10, 0, 0, 1, 0, 0, 3, 0, 0,10749, 4737, 6012, 5288, 1778, 1246, 2437,1
2015-02-26,4, 11, 0, 1, 1, 0, 0, 3, 0, 0,10164, 3123, 7041, 1731, 1139, 747, 6547,1
2015-02-27,4, 7, 0, 0, 1, 0, 0, 4, 0, 0,7775, 3486, 4289, 3229, 864, 1332, 2350,0
2015-02-28,4, 7, 0, 1, 1, 0, 1, 4, 1, 0,7629, 788, 6841, 1509, 2931, 1241, 1948,0
2015-03-01,3, 9, 0, 1, 0, 0, 0, 3, 1, 0,6218, 1105, 5113, 2835, 1613, 420, 1350,1
2015-03-02,7, 12, 0, 1, 1, 0, 0, 3, 0, 0,151, 71, 80, 18, 46, 14, 73,0
2015-03-03,3, 14, 0, 1, 0, 0, 0, 4, 0, 0,5985, 2550, 3435, 629, 1899, 1206, 2251,1
2015-03-04,3, 7, 0, 1, 1, 1, 0, 3, 0, 0,6413, 2053, 4360, 1070, 1650, 679, 3014,1
2015-03-05,4, 6, 0, 0, 1, 1, 0, 3, 0, 0,5324, 983, 4341, 1210, 1794, 554, 1766,1
2015-03-06,4, 8, 0, 1, 1, 0, 0, 3, 0, 0,3109, 1194, 1915, 327, 339, 686, 1757,0
2015-03-07,7, 11, 0, 1, 0, 0, 0, 3, 1, 0,4137, 2001, 2136, 1443, 1108, 724, 862,0
2015-03-08,5, 12, 0, 0, 1, 0, 0, 3, 1, 0,5483, 1378, 4105, 673, 561, 1297, 2952,1
2015-03-09,2, 11, 0, 1, 0, 0, 0, 4, 0, 0,15, 4, 11, 4, 3, 3, 5,0
2015-03-10,2, 7, 0, 1, 0, 0, 0, 3, 0, 0,6613, 2886, 3727, 984, 693, 773, 4163,1
2015-03-11,3, 11, 0, 1, 0, 0, 0, 3, 0, 0,2903, 794, 2109, 682, 840, 212, 1169,0
2015-03-12,7, 16, 0, 0, 0, 0, 0, 3, 0, 0,5493, 2101, 3392, 1685, 1292, 474, 2042,1
2015-03-13,10, 20, 0, 1, 0, 0, 0, 3, 0, 0,5633, 2774, 2859, 2257, 517, 1270, 1589,1
2015-03-14,10, 16, 0, 0, 1, 0, 0, 3, 1, 0,2943, 364, 2579, 413, 792, 501, 1237,0
2015-03-15,10, 16, 0, 0, 1, 0, 0, 3, 1, 0,6167, 1270, 4897, 1998, 1875, 972, 1322,1
2015-03-16,12, 15, 0, 1, 0, 0, 0, 3, 0, 0,25, 11, 14, 12, 2, 3, 8,0
2015-03-17,15, 19, 0, 0, 1, 0, 0, 3, 0, 0,4141, 1535, 2606, 1588, 877, 470, 1206,0
2015-03-18,11, 22, 0, 0, 1, 0, 0, 3, 0, 0,5371, 540, 4831, 1691, 1324, 375, 1981,1
2015-03-19,10, 16, 0, 1, 1, 0, 0, 3, 0, 0,5385, 2203, 3182, 2516, 482, 826, 1561,1
2015-03-20,10, 14, 0, 0, 1, 0, 0, 3, 0, 0,6296, 963, 5333, 2500, 1347, 457, 1992,1
2015-03-21,10, 20, 0, 1, 0, 0, 0, 3, 1, 0,3837, 897, 2940, 1881, 640, 439, 877,0
2015-03-22,10, 17, 0, 1, 0, 0, 0, 3, 1, 0,3215, 1017, 2198, 679, 1069, 532, 935,0
2015-03-23,9, 16, 0, 1, 0, 0, 0, 3, 0, 0,118, 19, 99, 41, 8, 22, 47,0
2015-03-24,9, 15, 0, 1, 0, 0, 0, 3, 0, 0,2942, 800, 2142, 1079, 493, 612, 758,0
2015-03-25,9, 16, 0, 1, 0, 0, 0, 3, 0, 0,4264, 665, 3599, 1033, 1053, 345, 1833,0
2015-03-26,11, 17, 0, 1, 1, 0, 0, 3, 0, 0,6653, 2475, 4178, 1855, 820, 1385, 2593,1
2015-03-27,9, 14, 0, 1, 1, 0, 0, 3, 0, 0,3642, 622, 3020, 1555, 610, 414, 1063,0
2015-03-28,11, 20, 0, 1, 0, 0, 0, 3, 1, 0,4215, 1301, 2914, 973, 497, 540, 2205,0
2015-03-29,13, 23, 0, 1, 1, 0, 0, 3, 1, 0,6280, 2276, 4004, 815, 2323, 966, 2176,1
2015-03-30,15, 18, 0, 1, 1, 0, 0, 4, 0, 0,196, 86, 110, 45, 34, 28, 89,0
2015-03-31,17, 26, 0, 1, 0, 0, 0, 3, 0, 0,5945, 2681, 3264, 2008, 806, 1452, 1679,1
2015-04-01,17, 22, 0, 1, 0, 0, 0, 3, 0, 0,8812, 3980, 4832, 4305, 1275, 1159, 2073,1
2015-04-02,13, 30, 0, 1, 1, 0, 0, 4, 0, 0,9301, 2630, 6671, 1989, 1964, 1254, 4094,1
2015-04-03,13, 16, 0, 0, 1, 0, 0, 3, 0, 0,8381, 2157, 6224, 2972, 1796, 988, 2625,1
2015-04-04,15, 23, 0, 0, 1, 0, 0, 3, 1, 0,8880, 1914, 6966, 3019, 2776, 1413, 1672,1
2015-04-05,10, 23, 0, 1, 1, 0, 0, 4, 1, 0,9349, 1927, 7422, 3248, 1710, 1242, 3149,1
2015-04-06,8, 14, 0, 0, 1, 0, 0, 4, 0, 0,164, 66, 98, 75, 38, 15, 36,0
2015-04-07,6, 10, 0, 0, 1, 0, 0, 4, 0, 0,6543, 1908, 4635, 1836, 593, 1824, 2290,0
2015-04-08,8, 13, 0, 1, 0, 0, 0, 3, 0, 0,8660, 3537, 5123, 2967, 1030, 861, 3802,1
2015-04-09,9, 15, 0, 1, 1, 0, 0, 3, 0, 0,6942, 1258, 5684, 962, 2721, 1383, 1876,0
2015-04-10,10, 16, 0, 1, 0, 0, 0, 3, 0, 0,6964, 1350, 5614, 920, 1349, 685, 4010,0
2015-04-11,11, 18, 0, 1, 0, 0, 0, 3, 1, 0,6896, 1011, 5885, 1507, 634, 1597, 3158,0
2015-04-12,9, 20, 0, 1, 1, 0, 0, 3, 1, 0,6043, 2124, 3919, 1288, 2198, 874, 1683,0
2015-04-13,8, 15, 0, 0, 1, 0, 0, 4, 0, 0,229, 63, 166, 96, 32, 23, 78,0
2015-04-14,9, 16, 0, 1, 0, 0, 0, 4, 0, 0,9054, 1574, 7480, 4206, 504, 1968, 2376,1
2015-04-15,15, 22, 0, 1, 0, 0, 0, 3, 0, 0,6286, 1145, 5141, 2909, 653, 518, 2206,0
2015-04-16,13, 23, 0, 1, 0, 0, 0, 3, 0, 0,6716, 1560, 5156, 2597, 698, 409, 3012,0
2015-04-17,16, 20, 0, 1, 0, 0, 0, 4, 0, 0,5897, 649, 5248, 2172, 1630, 339, 1756,0
2015-04-18,19, 28, 0, 1, 1, 0, 0, 3, 1, 0,6356, 1521, 4835, 2266, 1058, 928, 2104,0
2015-04-19,14, 25, 0, 0, 1, 0, 0, 4, 1, 0,7112, 1113, 5999, 2700, 1829, 864, 1719,0
2015-04-20,12, 18, 0, 1, 1, 0, 0, 4, 0, 0,237, 68, 169, 77, 46, 21, 93,0
2015-04-21,11, 20, 0, 1, 0, 0, 0, 3, 0, 0,6166, 1838, 4328, 1285, 1345, 1281, 2255,0
2015-04-22,14, 24, 0, 1, 0, 0, 0, 3, 0, 0,6697, 1190, 5507, 2860, 594, 724, 2519,0
2015-04-23,14, 24, 0, 1, 0, 0, 0, 3, 0, 0,9543, 1990, 7553, 3325, 1127, 2535, 2556,1
2015-04-24,14, 24, 0, 1, 0, 0, 0, 3, 0, 0,6118, 2818, 3300, 2309, 1354, 737, 1718,0
2015-04-25,15, 26, 0, 0, 0, 0, 0, 3, 1, 0,6515, 1862, 4653, 3245, 1437, 720, 1113,0
2015-04-26,17, 25, 0, 1, 0, 0, 0, 3, 1, 0,9378, 2100, 7278, 3096, 3038, 1555, 1689,1
2015-04-27,19, 23, 0, 1, 0, 0, 0, 3, 0, 0,90, 28, 62, 24, 19, 20, 27,0
2015-04-28,19, 28, 0, 1, 1, 0, 1, 3, 0, 0,6365, 1369, 4996, 1490, 1729, 657, 2489,0
2015-04-29,17, 25, 0, 1, 0, 0, 0, 3, 0, 0,6159, 1021, 5138, 1071, 736, 1261, 3091,0
2015-04-30,16, 24, 0, 1, 0, 0, 0, 3, 0, 0,6943, 2322, 4621, 2493, 1881, 339, 2230,0
2015-05-01,17, 25, 0, 1, 0, 0, 0, 4, 0, 0,8428, 3683, 4745, 957, 3369, 1799, 2303,1
2015-05-02,17, 24, 0, 1, 1, 0, 0, 4, 1, 0,5630, 2289, 3341, 1254, 764, 1640, 1972,0
2015-05-03,15, 23, 0, 1, 0, 0, 0, 3, 1, 0,5519, 2701, 2818, 1821, 574, 1392, 1732,0
2015-05-04,15, 24, 0, 1, 0, 0, 0, 3, 0, 0,178, 42, 136, 72, 48, 5, 53,0
2015-05-05,17, 24, 0, 1, 1, 0, 0, 3, 0, 0,8156, 2078, 6078, 857, 1886, 1837, 3576,1
2015-05-06,17, 21, 0, 0, 1, 0, 0, 4, 0, 0,6150, 2376, 3774, 803, 1640, 1591, 2116,0
2015-05-07,17, 27, 0, 1, 0, 0, 0, 3, 0, 0,5529, 2205, 3324, 2163, 1434, 481, 1451,0
2015-05-08,17, 24, 0, 0, 1, 0, 0, 3, 0, 0,5559, 1396, 4163, 1369, 1889, 809, 1492,0
2015-05-09,16, 22, 0, 1, 1, 0, 0, 3, 1, 0,8767, 2730, 6037, 1304, 1717, 2325, 3421,1
2015-05-10,17, 24, 0, 1, 1, 0, 0, 4, 1, 0,7440, 3120, 4320, 2477, 1272, 741, 2950,1
2015-05-11,15, 23, 0, 0, 1, 0, 0, 4, 0, 0,150, 22, 128, 51, 41, 6, 52,0
2015-05-12,17, 27, 0, 0, 0, 0, 0, 4, 0, 0,8684, 1957, 6727, 3677, 2366, 1139, 1502,1
2015-05-13,21, 31, 0, 1, 0, 0, 0, 3, 0, 0,8832, 1418, 7414, 4071, 1013, 1330, 2418,1
2015-05-14,20, 26, 0, 0, 1, 0, 0, 3, 0, 0,5782, 2289, 3493, 1378, 1642, 698, 2064,0
2015-05-15,17, 25, 0, 0, 1, 0, 1, 4, 0, 0,5339, 1177, 4162, 1865, 1088, 514, 1872,0
2015-05-16,16, 24, 0, 1, 0, 0, 0, 3, 1, 0,7520, 1054, 6466, 1323, 2785, 935, 2477,1
2015-05-17,20, 25, 0, 1, 1, 0, 0, 3, 1, 0,8851, 2340, 6511, 2822, 1731, 442, 3856,1
2015-05-18,19, 23, 0, 1, 1, 0, 0, 3, 0, 0,36, 17, 19, 11, 9, 8, 8,0
2015-05-19,18, 28, 0, 1, 0, 0, 0, 3, 0, 0,5257, 1080, 4177, 1861, 1140, 580, 1676,0
2015-05-20,17, 27, 0, 1, 0, 0, 0, 3, 0, 0,8145, 2274, 5871, 4057, 1949, 390, 1749,1
2015-05-21,17, 25, 0, 0, 0, 0, 0, 3, 0, 0,7386, 2291, 5095, 769, 3053, 1096, 2468,1
2015-05-22,18, 25, 0, 1, 0, 0, 0, 3, 0, 0,6122, 1603, 4519, 2480, 1465, 235, 1942,0
2015-05-23,19, 24, 0, 1, 0, 0, 0, 3, 1, 0,7740, 3546, 4194, 2589, 685, 630, 3836,1
2015-05-24,18, 23, 0, 1, 0, 0, 0, 3, 1, 0,7710, 2224, 5486, 3007, 1633, 1388, 1682,1
2015-05-25,18, 27, 0, 1, 0, 0, 0, 3, 0, 0,154, 49, 105, 45, 53, 10, 46,0
2015-05-26,20, 27, 0, 1, 0, 0, 0, 3, 0, 0,8287, 1953, 6334, 1120, 2860, 1098, 3209,1
2015-05-27,21, 24, 0, 0, 1, 0, 0, 3, 0, 0,8843, 2231, 6612, 3030, 2559, 783, 2471,1
2015-05-28,21, 24, 0, 1, 1, 0, 0, 3, 0, 0,5373, 1623, 3750, 2665, 1094, 250, 1364,0
2015-05-29,20, 26, 0, 0, 1, 0, 0, 3, 0, 0,5068, 681, 4387, 1979, 1038, 417, 1634,0
2015-05-30,19, 25, 0, 1, 0, 0, 0, 3, 1, 0,5285, 2576, 2709, 1375, 1789, 295, 1826,0
2015-05-31,20, 27, 0, 1, 0, 0, 0, 3, 1, 0,7981, 2983, 4998, 1820, 1928, 1509, 2724,1
2015-06-01,22, 29, 0, 0, 1, 0, 0, 3, 0, 0,122, 25, 97, 18, 34, 33, 37,0
2015-06-02,21, 26, 0, 0, 1, 0, 1, 4, 0, 0,6368, 1510, 4858, 675, 2157, 603, 2933,0
2015-06-03,19, 24, 0, 1, 0, 0, 0, 3, 0, 0,9587, 1173, 8414, 3125, 2107, 1797, 2558,1
2015-06-04,19, 26, 0, 1, 1, 0, 0, 3, 0, 0,8358, 3902, 4456, 3179, 895, 1128, 3156,1
2015-06-05,20, 28, 0, 1, 0, 0, 0, 3, 0, 0,8395, 3460, 4935, 3402, 1912, 382, 2699,1
2015-06-06,22, 30, 0, 1, 0, 0, 0, 3, 1, 0,8351, 3903, 4448, 3916, 919, 1033, 2483,1
2015-06-07,21, 26, 0, 0, 1, 0, 1, 3, 1, 0,5955, 2258, 3697, 1308, 860, 1435, 2352,0
2015-06-08,21, 24, 0, 0, 1, 0, 0, 3, 0, 0,175, 84, 91, 52, 34, 44, 45,0
2015-06-09,21, 25, 0, 0, 1, 0, 0, 3, 0, 0,9582, 3530, 6052, 4590, 2222, 1348, 1422,1
2015-06-10,23, 25, 0, 1, 1, 0, 0, 3, 0, 0,6047, 1796, 4251, 1896, 1018, 1114, 2019,0
2015-06-11,23, 31, 0, 1, 0, 0, 0, 3, 0, 0,9147, 3752, 5395, 2388, 1102, 2314, 3343,1
2015-06-12,24, 34, 0, 1, 0, 0, 0, 3, 0, 0,5999, 1635, 4364, 1751, 1474, 436, 2338,0
2015-06-13,24, 33, 0, 1, 0, 0, 0, 3, 1, 0,9418, 3877, 5541, 1641, 2133, 793, 4851,1
2015-06-14,23, 29, 0, 0, 1, 0, 0, 3, 1, 0,8565, 3329, 5236, 1217, 2160, 1834, 3354,1
2015-06-15,22, 27, 0, 0, 1, 0, 0, 3, 0, 0,69, 25, 44, 6, 7, 9, 47,0
2015-06-16,21, 24, 0, 0, 1, 0, 1, 3, 0, 0,6693, 3056, 3637, 1484, 1980, 799, 2430,0
2015-06-17,20, 23, 0, 0, 1, 0, 1, 3, 0, 0,5975, 826, 5149, 1984, 677, 1294, 2020,0
2015-06-18,20, 25, 0, 1, 1, 0, 0, 3, 0, 0,5821, 2460, 3361, 1946, 1860, 809, 1206,0
2015-06-19,21, 28, 0, 1, 0, 0, 0, 3, 0, 0,8992, 4353, 4639, 3767, 1552, 1453, 2220,1
2015-06-20,22, 29, 0, 1, 0, 0, 0, 3, 1, 0,8423, 2425, 5998, 1754, 1386, 2484, 2799,1
2015-06-21,21, 26, 0, 0, 1, 0, 0, 3, 1, 0,6081, 1401, 4680, 1700, 2028, 692, 1661,0
2015-06-22,23, 24, 0, 1, 1, 0, 0, 3, 0, 0,27, 5, 22, 9, 6, 4, 8,0
2015-06-23,24, 30, 0, 1, 1, 0, 0, 3, 0, 0,8485, 2320, 6165, 2307, 1394, 1394, 3390,1
2015-06-24,25, 31, 0, 0, 1, 0, 0, 3, 0, 0,9495, 3325, 6170, 4185, 2300, 733, 2277,1
2015-06-25,24, 34, 0, 0, 1, 0, 0, 3, 0, 0,9768, 2320, 7448, 2115, 1130, 2891, 3632,1
2015-06-26,24, 27, 0, 0, 1, 0, 1, 3, 0, 0,5929, 594, 5335, 1894, 1179, 643, 2213,0
2015-06-27,21, 25, 0, 0, 1, 0, 1, 3, 1, 0,6373, 2924, 3449, 913, 2502, 1005, 1953,0
2015-06-28,21, 25, 0, 0, 1, 0, 1, 3, 1, 0,6479, 2768, 3711, 2009, 967, 614, 2889,0
2015-06-29,24, 29, 0, 1, 1, 0, 0, 3, 0, 0,75, 31, 44, 8, 9, 24, 34,0
2015-06-30,22, 34, 0, 0, 1, 0, 1, 3, 0, 0,9142, 3719, 5423, 3105, 2466, 531, 3040,1
2015-07-01,21, 25, 0, 1, 1, 0, 0, 3, 0, 0,16234, 2766, 13468, 5480, 4078, 1876, 4800,0
2015-07-02,21, 29, 0, 1, 0, 0, 0, 3, 0, 0,19064, 7333, 11731, 2855, 7161, 2009, 7039,1
2015-07-03,22, 29, 0, 1, 0, 0, 0, 3, 0, 0,18647, 5211, 13436, 8144, 3866, 2747, 3890,1
2015-07-04,21, 23, 0, 0, 1, 0, 0, 3, 1, 0,15885, 3195, 12690, 1889, 5031, 3891, 5074,0
2015-07-05,20, 24, 0, 0, 1, 0, 0, 3, 1, 0,15803, 2158, 13645, 3568, 1407, 4237, 6591,0
2015-07-06,18, 22, 0, 0, 1, 0, 1, 4, 0, 0,45, 22, 23, 15, 7, 4, 19,0
2015-07-07,21, 24, 0, 0, 1, 0, 0, 3, 0, 0,19145, 5521, 13624, 8135, 3179, 3319, 4512,1
2015-07-08,23, 26, 0, 0, 1, 0, 0, 3, 0, 0,19112, 2451, 16661, 7044, 5319, 1481, 5268,1
2015-07-09,24, 29, 0, 1, 1, 0, 0, 3, 0, 0,19270, 6971, 12299, 5362, 4554, 2947, 6407,1
2015-07-10,24, 29, 0, 1, 1, 0, 1, 6, 0, 0,19162, 2560, 16602, 4329, 3389, 1391, 10053,1
2015-07-11,24, 26, 0, 0, 1, 0, 1, 6, 1, 0,17061, 6761, 10300, 2292, 3142, 3603, 8024,0
2015-07-12,24, 29, 0, 1, 1, 0, 0, 5, 1, 0,18569, 8194, 10375, 2010, 1995, 4904, 9660,1
2015-07-13,25, 33, 0, 1, 0, 0, 0, 3, 0, 0,126, 42, 84, 27, 21, 27, 51,0
2015-07-14,24, 34, 0, 1, 0, 0, 0, 3, 0, 0,18292, 4879, 13413, 7116, 2350, 2421, 6405,1
2015-07-15,24, 32, 0, 1, 0, 0, 0, 3, 0, 0,19176, 5818, 13358, 4059, 6575, 3097, 5445,1
2015-07-16,24, 29, 0, 1, 0, 0, 0, 3, 0, 0,15753, 2490, 13263, 7450, 3883, 644, 3776,0
2015-07-17,24, 28, 0, 0, 1, 0, 0, 3, 0, 0,18414, 5215, 13199, 4132, 4318, 4413, 5551,1
2015-07-18,25, 28, 0, 0, 1, 0, 0, 3, 1, 0,18192, 4322, 13870, 6830, 4485, 1348, 5529,1
2015-07-19,25, 30, 0, 1, 0, 0, 0, 3, 1, 0,18515, 8234, 10281, 3093, 2754, 2192, 10476,1
2015-07-20,26, 31, 0, 1, 1, 0, 0, 3, 0, 0,178, 65, 113, 33, 53, 14, 78,0
2015-07-21,25, 30, 0, 1, 1, 0, 0, 3, 0, 0,18916, 8413, 10503, 2079, 7767, 976, 8094,1
2015-07-22,26, 30, 0, 0, 1, 0, 0, 3, 0, 0,17048, 3977, 13071, 3992, 1491, 1381, 10184,0
2015-07-23,26, 31, 0, 0, 1, 0, 0, 3, 0, 0,15904, 2543, 13361, 6962, 2490, 1236, 5216,0
2015-07-24,27, 32, 0, 1, 1, 0, 0, 3, 0, 0,16259, 7243, 9016, 3747, 5340, 2644, 4528,0
2015-07-25,27, 34, 0, 1, 1, 0, 0, 3, 1, 0,19436, 4802, 14634, 4946, 2722, 2511, 9257,1
2015-07-26,27, 35, 0, 1, 1, 0, 0, 3, 1, 0,16465, 5231, 11234, 3929, 1758, 3513, 7265,0
2015-07-27,28, 36, 0, 0, 1, 0, 1, 3, 0, 0,33, 11, 22, 14, 6, 1, 12,0
2015-07-28,30, 37, 0, 0, 0, 0, 0, 3, 0, 0,19005, 2481, 16524, 3528, 5214, 5041, 5222,1
2015-07-29,30, 38, 0, 0, 0, 0, 0, 3, 0, 0,16640, 3118, 13522, 4652, 1313, 5280, 5395,0
2015-07-30,28, 37, 0, 1, 0, 0, 0, 3, 0, 0,19314, 6579, 12735, 9461, 3588, 845, 5420,1
2015-07-31,29, 37, 0, 0, 0, 0, 0, 3, 0, 0,16428, 7601, 8827, 4539, 1209, 2704, 7976,0
2015-08-01,29, 38, 0, 0, 0, 0, 0, 3, 1, 0,20326, 9891, 10435, 9645, 3876, 2815, 3990,1
2015-08-02,29, 38, 0, 0, 0, 0, 0, 3, 1, 0,18193, 8377, 9816, 1849, 3583, 3217, 9544,0
2015-08-03,29, 38, 0, 0, 0, 0, 0, 3, 0, 0,206, 61, 145, 46, 19, 25, 116,0
2015-08-04,28, 38, 0, 0, 0, 0, 0, 3, 0, 0,18149, 2288, 15861, 2139, 5423, 4843, 5744,0
2015-08-05,27, 37, 0, 0, 0, 0, 0, 3, 0, 0,20969, 8091, 12878, 8637, 4061, 4057, 4214,1
2015-08-06,27, 36, 0, 1, 0, 0, 0, 3, 0, 0,20902, 7636, 13266, 5818, 3710, 1572, 9802,1
